TransactionId,CustomerId,TransactionAmount,Currency,TransactionDatetime,AccountCreationDatetime,LastModifiedDate
1,101,120.50,USD,2023-08-01T14:23:55Z,12/04/2020 09:15:30 AM,08/01/2023 03:45:00 PM
2,102,250.75,EUR,2023-08-03T11:15:30Z,15/05/2021 02:40:00 PM,08/03/2023 12:30:45 PM
3,103,75.00,GBP,2023-08-05T09:00:00Z,25/11/2019 08:20:15 AM,08/05/2023 10:05:00 AM
4,104,300.00,USD,2023-08-07T18:45:00Z,03/07/2022 04:55:30 PM,08/07/2023 07:30:15 PM
5,105,150.25,JPY,2023-08-10T06:35:25Z,18/09/2020 10:10:45 AM,08/10/2023 07:00:00 AM
6,106,200.00,EUR,2023-08-11T13:50:00Z,21/06/2021 03:30:00 PM,08/11/2023 02:15:30 PM
7,107,85.50,GBP,2023-08-13T20:15:45Z,10/01/2018 07:05:15 AM,08/13/2023 09:00:00 PM
8,108,400.75,USD,2023-08-15T17:10:30Z,05/05/2022 11:30:00 AM,08/15/2023 06:45:15 PM
9,109,120.00,EUR,2023-08-17T08:55:00Z,30/10/2020 12:00:30 PM,08/17/2023 09:30:00 AM
10,110,220.50,JPY,2023-08-19T12:20:15Z,14/12/2019 09:45:45 AM,08/19/2023 01:00:00 PM
